stn,time,temperatur,sonne,niederschlag,tempdiff,datum,stunde,zeitperiode,namestn
ELM,2022-03-11 18:00:00,3.604761904761905,11942.325,0.0,-0.7619047619047614,11 mars 2022,18,la soirée,Elm
ENG,2022-03-11 18:00:00,3.6476190476190475,11851.399999999998,0.0,-0.4761904761904776,11 mars 2022,18,la soirée,Engelberg
EVI,2022-03-11 18:00:00,8.285714285714288,8242.819999999998,0.0,-4.123809523809522,11 mars 2022,18,la soirée,Evionnaz
EVO,2022-03-11 18:00:00,-1.795238095238095,7141.31,0.0,-2.233333333333333,11 mars 2022,18,la soirée,Evolène / Villa
FAH,2022-03-11 18:00:00,9.038095238095238,7552.715000000001,0.0,-1.9095238095238116,11 mars 2022,18,la soirée,Fahy
FLU,2022-03-11 18:00:00,4.166666666666667,11403.814999999999,0.0,-4.814285714285716,11 mars 2022,18,la soirée,Flühli LU
GRA,2022-03-11 18:00:00,8.29047619047619,8992.595,0.0,-1.5999999999999996,11 mars 2022,18,la soirée,Fribourg / Grangeneuve
FRU,2022-03-11 18:00:00,7.6571428571428575,7445.15,0.0,-4.066666666666667,11 mars 2022,18,la soirée,Frutigen
GVE,2022-03-11 18:00:00,9.519047619047619,7495.220000000001,0.0,-1.204761904761904,11 mars 2022,18,la soirée,Genève / Cointrin
GES,2022-03-11 18:00:00,6.976190476190477,12845.09,0.0,-3.647619047619046,11 mars 2022,18,la soirée,Gersau
GIH,2022-03-11 18:00:00,9.199999999999998,10573.62,0.0,-4.900000000000004,11 mars 2022,18,la soirée,Giswil
GLA,2022-03-11 18:00:00,5.280952380952381,12075.774999999998,0.0,-0.2761904761904761,11 mars 2022,18,la soirée,Glarus
GOR,2022-03-11 18:00:00,-8.923809523809524,6867.885,0.0,-0.34285714285714164,11 mars 2022,18,la soirée,Gornergrat
GRE,2022-03-11 18:00:00,8.980952380952383,10148.315,0.0,-1.3047619047619037,11 mars 2022,18,la soirée,Grenchen
GRH,2022-03-11 18:00:00,-3.7571428571428576,5837.015,0.0,1.0523809523809518,11 mars 2022,18,la soirée,Grimsel Hospiz
GRO,2022-03-11 18:00:00,5.971428571428573,2893.3050000000003,0.0,-2.8142857142857114,11 mars 2022,18,la soirée,Grono
GRC,2022-03-11 18:00:00,-0.17142857142857143,8267.225,0.0,-3.323809523809524,11 mars 2022,18,la soirée,Grächen
GOS,2022-03-11 18:00:00,1.0285714285714287,9039.595000000001,0.0,-1.0095238095238093,11 mars 2022,18,la soirée,Göschenen
GOE,2022-03-11 18:00:00,7.466666666666667,12272.705,0.0,-2.0999999999999996,11 mars 2022,18,la soirée,Gösgen
GUE,2022-03-11 18:00:00,-6.9571428571428555,8322.15,0.0,-0.3476190476190455,11 mars 2022,18,la soirée,Gütsch Andermatt
GUT,2022-03-11 18:00:00,7.257142857142856,13224.465,0.0,-0.604761904761907,11 mars 2022,18,la soirée,Güttingen
HLL,2022-03-11 18:00:00,7.509523809523809,12336.789999999999,0.0,-2.480952380952382,11 mars 2022,18,la soirée,Hallau
HOE,2022-03-11 18:00:00,4.171428571428571,11564.205,0.0,-3.647619047619048,11 mars 2022,18,la soirée,Hörnli
ILZ,2022-03-11 18:00:00,2.7761904761904765,11001.999999999998,0.0,-0.5523809523809522,11 mars 2022,18,la soirée,Ilanz
INT,2022-03-11 18:00:00,6.738095238095238,7777.290000000001,0.0,-4.504761904761904,11 mars 2022,18,la soirée,Interlaken
JUN,2022-03-11 18:00:00,-13.452380952380953,7697.534999999998,0.0,-0.10952380952380736,11 mars 2022,18,la soirée,Jungfraujoch
KOP,2022-03-11 18:00:00,8.047619047619046,10582.215,0.0,-1.4809523809523846,11 mars 2022,18,la soirée,Koppigen
BRL,2022-03-11 18:00:00,5.747619047619048,6536.245,0.0,-3.10952380952381,11 mars 2022,18,la soirée,La Brévine
CDF,2022-03-11 18:00:00,6.219047619047619,7204.890000000001,0.0,-3.3666666666666663,11 mars 2022,18,la soirée,La Chaux-de-Fonds
DOL,2022-03-11 18:00:00,0.9095238095238094,6725.219999999999,0.0,-2.1333333333333337,11 mars 2022,18,la soirée,La Dôle
LAC,2022-03-11 18:00:00,7.147619047619049,10515.935000000001,0.0,-2.633333333333331,11 mars 2022,18,la soirée,Lachen / Galgenen
LAG,2022-03-11 18:00:00,7.242857142857144,10551.54,0.0,-3.9476190476190443,11 mars 2022,18,la soirée,Langnau i.E.
MLS,2022-03-11 18:00:00,-0.5428571428571428,8250.175000000001,0.0,-3.119047619047619,11 mars 2022,18,la soirée,Le Moléson
LEI,2022-03-11 18:00:00,7.533333333333334,12697.605,0.0,-2.342857142857139,11 mars 2022,18,la soirée,Leibstadt
ATT,2022-03-11 18:00:00,-7.119047619047619,8072.519999999999,0.0,-1.6999999999999993,11 mars 2022,18,la soirée,Les Attelas
CHB,2022-03-11 18:00:00,5.795238095238097,5985.345,0.0,-3.2952380952380933,11 mars 2022,18,la soirée,Les Charbonnières
DIA,2022-03-11 18:00:00,-8.542857142857141,7487.139999999999,0.0,-0.038095238095236184,11 mars 2022,18,la soirée,Les Diablerets
MAR,2022-03-11 18:00:00,4.619047619047619,6928.459999999999,0.0,-4.480952380952383,11 mars 2022,18,la soirée,Les Marécottes
OTL,2022-03-11 18:00:00,6.561904761904761,3415.0150000000003,0.0,-0.8095238095238102,11 mars 2022,18,la soirée,Locarno / Monti
LUG,2022-03-11 18:00:00,7.014285714285713,2245.3650000000002,0.0,-1.2142857142857144,11 mars 2022,18,la soirée,Lugano
LUZ,2022-03-11 18:00:00,6.933333333333333,12240.824999999999,0.0,-3.6333333333333355,11 mars 2022,18,la soirée,Luzern
LAE,2022-03-11 18:00:00,5.114285714285715,12330.810000000001,0.0,-1.6047619047619044,11 mars 2022,18,la soirée,Lägern
MAG,2022-03-11 18:00:00,7.204761904761905,934.975,0.0,-1.2761904761904743,11 mars 2022,18,la soirée,Magadino / Cadenazzo
MAS,2022-03-11 18:00:00,7.723809523809523,9021.92,0.0,-2.8523809523809547,11 mars 2022,18,la soirée,Marsens
MAH,2022-03-11 18:00:00,8.966666666666667,8034.18,0.0,-1.1809523809523785,11 mars 2022,18,la soirée,Mathod
MTR,2022-03-11 18:00:00,-6.190476190476191,2307.2300000000005,0.0,-1.0428571428571436,11 mars 2022,18,la soirée,Matro
MER,2022-03-11 18:00:00,6.371428571428572,10545.705000000002,0.0,-2.757142857142858,11 mars 2022,18,la soirée,Meiringen
MOB,2022-03-11 18:00:00,4.128571428571428,6259.41,0.0,-4.519047619047621,11 mars 2022,18,la soirée,Montagnier Bagnes
MVE,2022-03-11 18:00:00,0.5,10808.425000000001,0.0,-0.5142857142857142,11 mars 2022,18,la soirée,Montana
GEN,2022-03-11 18:00:00,-2.5428571428571423,3298.774999999999,0.0,-1.3333333333333328,11 mars 2022,18,la soirée,Monte Generoso
MRP,2022-03-11 18:00:00,-7.4523809523809526,6867.885,0.0,-0.3190476190476188,11 mars 2022,18,la soirée,Monte Rosa-Plattje
MOA,2022-03-11 18:00:00,7.380952380952381,13229.715000000002,0.0,-4.009523809523808,11 mars 2022,18,la soirée,Mosen
MTE,2022-03-11 18:00:00,1.5285714285714287,8986.7,0.0,-0.7714285714285707,11 mars 2022,18,la soirée,Mottec
MOE,2022-03-11 18:00:00,9.257142857142858,13081.965,0.0,-1.447619047619046,11 mars 2022,18,la soirée,Möhlin
MUB,2022-03-11 18:00:00,9.157142857142858,9171.140000000001,0.0,-1.4523809523809508,11 mars 2022,18,la soirée,Mühleberg
NAS,2022-03-11 18:00:00,-7.261904761904764,14434.894999999999,0.0,-0.0857142857142863,11 mars 2022,18,la soirée,Naluns / Schlivera
NAP,2022-03-11 18:00:00,2.5666666666666664,10851.425,0.0,-4.766666666666667,11 mars 2022,18,la soirée,Napf
NEU,2022-03-11 18:00:00,9.495238095238097,9827.85,0.0,-0.15714285714285658,11 mars 2022,18,la soirée,Neuchâtel
CGI,2022-03-11 18:00:00,9.47142857142857,7400.4400000000005,0.0,-2.0142857142857142,11 mars 2022,18,la soirée,Nyon / Changins
OBR,2022-03-11 18:00:00,8.985714285714286,13628.205000000002,0.0,-3.104761904761906,11 mars 2022,18,la soirée,Oberriet / Kriessern
AEG,2022-03-11 18:00:00,7.66190476190476,13335.485,0.0,-3.9428571428571457,11 mars 2022,18,la soirée,Oberägeri
ORO,2022-03-11 18:00:00,6.842857142857143,8290.469999999998,0.0,-3.742857142857142,11 mars 2022,18,la soirée,Oron
BEH,2022-03-11 18:00:00,-6.900000000000001,9284.47,0.0,1.4761904761904754,11 mars 2022,18,la soirée,Passo del Bernina
PAY,2022-03-11 18:00:00,9.142857142857142,9362.920000000002,0.0,-0.9476190476190478,11 mars 2022,18,la soirée,Payerne
PIL,2022-03-11 18:00:00,-0.047619047619047616,11140.634999999998,0.0,-3.923809523809524,11 mars 2022,18,la soirée,Pilatus
PIO,2022-03-11 18:00:00,1.4476190476190478,203.04000000000002,0.047619047619047616,0.2619047619047621,11 mars 2022,18,la soirée,Piotta
COV,2022-03-11 18:00:00,-12.700000000000003,11651.975,0.0,-0.5380952380952415,11 mars 2022,18,la soirée,Piz Corvatsch
PMA,2022-03-11 18:00:00,-9.642857142857144,11195.940000000002,0.0,-0.43333333333333357,11 mars 2022,18,la soirée,Piz Martegnas
PLF,2022-03-11 18:00:00,5.861904761904761,8208.68,0.0,-3.5571428571428605,11 mars 2022,18,la soirée,Plaffeien
ROB,2022-03-11 18:00:00,1.5142857142857142,11170.46,0.0,-3.1761904761904765,11 mars 2022,18,la soirée,Poschiavo / Robbia
PUY,2022-03-11 18:00:00,9.785714285714285,8172.6449999999995,0.0,0.3095238095238084,11 mars 2022,18,la soirée,Pully
QUI,2022-03-11 18:00:00,5.876190476190476,11967.569999999998,0.0,-1.6190476190476195,11 mars 2022,18,la soirée,Quinten
ROE,2022-03-11 18:00:00,-5.223809523809524,20.7,1.9523809523809523,0.38571428571428523,11 mars 2022,18,la soirée,Robièi
RUE,2022-03-11 18:00:00,7.42857142857143,12175.705,0.0,-1.8523809523809502,11 mars 2022,18,la soirée,Rünenberg
SBE,2022-03-11 18:00:00,-2.9857142857142858,1652.7400000000002,0.0,-1.033333333333333,11 mars 2022,18,la soirée,S. Bernardino
HAI,2022-03-11 18:00:00,6.39047619047619,12562.594999999998,0.0,-1.1761904761904782,11 mars 2022,18,la soirée,Salen-Reutenen
SAM,2022-03-11 18:00:00,-2.8809523809523805,11069.789999999999,0.0,2.10952380952381,11 mars 2022,18,la soirée,Samedan
SAG,2022-03-11 18:00:00,6.104761904761904,13895.225,0.0,-4.571428571428571,11 mars 2022,18,la soirée,Sattel SZ
SHA,2022-03-11 18:00:00,7.485714285714285,11981.930000000002,0.0,-1.6857142857142877,11 mars 2022,18,la soirée,Schaffhausen
SRS,2022-03-11 18:00:00,3.7666666666666666,13498.810000000001,0.0,0.047619047619047006,11 mars 2022,18,la soirée,Schiers
SCM,2022-03-11 18:00:00,7.747619047619047,11259.7,0.0,-3.466666666666667,11 mars 2022,18,la soirée,Schmerikon
SPF,2022-03-11 18:00:00,6.871428571428571,10924.52,0.0,-3.1523809523809545,11 mars 2022,18,la soirée,Schüpfheim
SCU,2022-03-11 18:00:00,-0.08095238095238096,14321.560000000001,0.0,-0.7952380952380954,11 mars 2022,18,la soirée,Scuol
SIA,2022-03-11 18:00:00,-3.923809523809523,7383.44,0.0,-0.34285714285714297,11 mars 2022,18,la soirée,Segl-Maria
SIM,2022-03-11 18:00:00,-1.7047619047619047,0.0,1.3238095238095238,-0.7857142857142858,11 mars 2022,18,la soirée,Simplon-Dorf
SIO,2022-03-11 18:00:00,7.957142857142857,8733.595,0.0,-4.823809523809524,11 mars 2022,18,la soirée,Sion
